7624
27806
0	747	1
1	4257	1
1	2194	1
1	580	1
1	6478	1
1	1222	1
1	5735	1
1	7146	1
1	2204	1
1	126	1
1	2639	1
2	562	1
2	1492	1
2	6	1
2	5303	1
2	7128	1
2	4154	1
2	5179	1
3	1728	1
3	4560	1
3	5060	1
3	1351	1
3	6503	1
3	7089	1
3	4319	1
3	6095	1
3	272	1
3	4433	1
3	2900	1
3	3381	1
3	5943	1
3	2107	1
3	6940	1
3	2013	1
3	6046	1
3	5823	1
4	5770	1
5	5454	1
6	5856	1
6	667	1
6	6180	1
6	598	1
6	870	1
6	3079	1
6	1834	1
6	6283	1
6	7340	1
6	7279	1
6	342	1
6	1492	1
6	4405	1
6	1462	1
6	7128	1
6	1284	1
6	1551	1
6	3291	1
6	167	1
7	177	1
7	6243	1
7	7589	1
7	2854	1
7	6931	1
7	6250	1
7	428	1
7	2142	1
8	1686	1
9	4481	1
9	1795	1
9	2660	1
9	6053	1
9	246	1
9	3843	1
9	6441	1
9	366	1
10	5489	1
11	5240	1
11	618	1
11	2412	1
11	1325	1
11	4919	1
12	5274	1
12	3807	1
13	1794	1
13	3971	1
13	1223	1
13	6152	1
13	5385	1
13	1509	1
13	524	1
13	4770	1
13	1937	1
13	7315	1
13	1817	1
13	6298	1
13	2266	1
13	3557	1
13	5857	1
13	866	1
13	2789	1
13	3559	1
13	4904	1
13	6565	1
13	5355	1
13	620	1
13	110	1
13	2835	1
13	3316	1
13	6712	1
13	1850	1
13	4860	1
13	4606	1
14	5862	1
14	2155	1
14	6438	1
14	3086	1
15	3530	1
15	7580	1
15	3029	1
15	5274	1
15	4375	1
16	7296	1
16	2626	1
16	131	1
16	6323	1
16	1799	1
16	3103	1
16	5578	1
16	7435	1
16	1677	1
16	5072	1
16	4008	1
16	3410	1
16	6446	1
16	4184	1
16	5725	1
16	1349	1
16	5088	1
16	6544	1
16	2530	1
16	1956	1
16	38	1
16	550	1
16	6567	1
16	4968	1
16	1005	1
16	6126	1
16	1905	1
16	3699	1
16	773	1
16	1016	1
